invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5_percent,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,transaction_datetime,year,month,month_name,day,day_name,hour,is_weekend,time_period,average_item_value,profit_margin_percent,transaction_value_segment,rating_segment
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,2019-01-05 13:08:00,2019,1,January,5,Saturday,13,True,Afternoon,78.42,4.76,High,High
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,76.4,4.761904762,3.82,9.6,2019-03-08 10:29:00,2019,3,March,8,Friday,10,False,Morning,16.04,4.76,Low,High
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,324.31,4.761904762,16.2155,7.4,2019-03-03 13:23:00,2019,3,March,3,Sunday,13,True,Afternoon,48.65,4.76,Medium,Medium
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33,Ewallet,465.76,4.761904762,23.288,8.4,2019-01-27 20:33:00,2019,1,January,27,Sunday,20,True,Evening,61.13,4.76,High,High
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,2019-02-08 10:37:00,2019,2,February,8,Friday,10,False,Morning,90.63,4.76,High,Low
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,2019-03-25 18:30:00,2019,3,March,25,Monday,18,False,Evening,89.66,4.76,High,Low
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,413.04,4.761904762,20.652,5.8,2019-02-25 14:36:00,2019,2,February,25,Monday,14,False,Afternoon,72.28,4.76,High,Low
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,735.6,4.761904762,36.78,8.0,2019-02-24 11:38:00,2019,2,February,24,Sunday,11,True,Morning,77.24,4.76,High,Medium
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,72.52,4.761904762,3.626,7.2,2019-01-10 17:15:00,2019,1,January,10,Thursday,17,False,Evening,38.07,4.76,Low,Medium
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,164.52,4.761904762,8.226,5.9,2019-02-20 13:27:00,2019,2,February,20,Wednesday,13,False,Afternoon,57.58,4.76,Medium,Low
